,SPI Index,SMIMC Index,SMCI Index,SPIEX Index,SPI20 Index
1996-01-04,2182.67,426.47,2049.35,423.28,3395.8
1996-01-05,2175.09,426.04,2054.88,424.38,3376.1
1996-01-08,2176.68,427.94,2071.98,427.67,3368.1
1996-01-09,2174.13,428.33,2077.84,429.26,3361.5
1996-01-10,2149.15,425.25,2068.74,426.99,3314.8
1996-01-11,2130.16,422.31,2059.34,424.98,3284.1
1996-01-12,2139.84,426.8,2068.78,427.25,3292.9
1996-01-15,2108.88,424.24,2056.72,425.24,3233.9
1996-01-16,2119.86,425.96,2058.18,425.39,3254.8
1996-01-17,2104.4,426.42,2057.97,425.7,3219.3
1996-01-18,2123.02,427.97,2061.76,426.03,3257.8
1996-01-19,2123.28,431.22,2070.59,427.96,3253.1
1996-01-22,2123.44,429.67,2067.76,427.65,3249.9
1996-01-23,2105.53,426.17,2059.24,425.95,3219.0
1996-01-24,2106.07,427.43,2062.02,426.07,3221.3
1996-01-25,2102.23,428.24,2072.13,427.62,3211.2
1996-01-26,2090.48,426.65,2062.62,426.27,3191.4
1996-01-29,2093.71,426.08,2060.75,426.21,3198.2
1996-01-30,2115.35,428.94,2068.53,427.7,3236.8
1996-01-31,2122.27,431.55,2083.74,430.7,3248.7
1996-02-01,2144.07,436.37,2104.54,434.62,3279.9
1996-02-02,2141.19,437.64,2114.42,436.47,3270.0
1996-02-05,2114.47,434.02,2099.26,433.36,3221.7
1996-02-06,2130.88,437.05,2107.74,435.19,3253.8
1996-02-07,2135.16,440.04,2110.92,435.94,3262.7
1996-02-08,2124.75,440.21,2104.27,434.74,3245.6
1996-02-09,2121.25,439.07,2098.86,433.76,3242.7
1996-02-12,2125.58,438.06,2097.31,433.67,3253.1
1996-02-13,2129.41,437.24,2096.44,433.56,3260.1
1996-02-14,2132.52,434.07,2095.47,433.61,3266.1
1996-02-15,2135.17,433.81,2096.38,433.7,3272.2
1996-02-16,2136.41,433.39,2092.49,433.29,3280.3
1996-02-19,2128.24,432.32,2084.31,431.86,3270.6
1996-02-20,2115.21,430.84,2082.63,431.84,3243.5
1996-02-21,2118.0,430.75,2081.93,431.64,3253.0
1996-02-22,2126.21,431.5,2089.51,433.09,3264.4
1996-02-23,2143.94,433.2,2095.02,434.32,3296.2
1996-02-26,2144.72,434.95,2094.95,434.32,3298.6
1996-02-27,2150.17,435.02,2094.29,433.87,3309.9
1996-02-28,2178.76,437.23,2107.56,436.26,3360.5
1996-02-29,2177.74,440.44,2115.74,437.66,3354.8
1996-03-01,2193.81,442.66,2127.74,439.61,3385.5
1996-03-04,2200.02,442.6,2129.75,439.95,3400.6
1996-03-05,2191.53,441.16,2129.84,439.84,3383.4
1996-03-06,2204.73,439.8,2126.97,439.38,3408.3
1996-03-07,2287.37,441.19,2132.29,440.59,3581.9
1996-03-08,2272.98,441.15,2134.12,440.76,3549.7
1996-03-11,2243.05,437.59,2109.82,436.53,3506.2
1996-03-12,2262.13,443.3,2124.27,439.5,3540.5
1996-03-13,2271.62,445.84,2129.52,440.46,3558.3
1996-03-14,2282.98,446.95,2136.14,441.5,3578.4
1996-03-15,2275.25,447.95,2137.57,442.06,3561.1
1996-03-18,2286.29,448.25,2141.37,442.38,3583.6
1996-03-19,2299.18,452.63,2152.32,444.73,3605.1
1996-03-20,2304.54,456.61,2161.02,446.57,3611.1
1996-03-21,2316.61,457.98,2160.17,446.38,3629.3
1996-03-22,2327.55,463.6,2175.44,448.74,3647.7
1996-03-25,2342.52,465.4,2182.16,449.99,3677.0
1996-03-26,2333.23,460.56,2177.59,449.14,3658.1
1996-03-27,2339.85,460.93,2190.11,451.17,3671.0
1996-03-28,2322.62,457.68,2180.74,448.94,3640.3
1996-03-29,2325.46,458.09,2190.6,449.79,3646.5
1996-04-01,2330.25,459.24,2194.45,450.57,3654.3
1996-04-02,2329.4,462.43,2199.37,451.85,3648.3
1996-04-03,2309.66,462.16,2199.31,452.21,3606.7
1996-04-04,2312.99,465.17,2206.03,453.28,3611.1
1996-04-05,2312.99,465.17,2206.03,453.28,3611.1
1996-04-08,2312.99,465.17,2206.03,453.28,3611.1
1996-04-09,2301.72,462.65,2194.66,451.01,3594.4
1996-04-10,2304.96,463.74,2195.4,450.57,3601.5
1996-04-11,2284.21,460.87,2184.83,448.45,3566.9
1996-04-12,2290.32,461.96,2188.62,449.61,3575.5
1996-04-15,2295.62,462.98,2183.55,448.08,3589.6
1996-04-16,2308.96,465.52,2197.74,451.51,3607.5
1996-04-17,2307.45,464.72,2197.02,451.51,3603.9
1996-04-18,2310.99,463.35,2190.96,451.11,3601.2
1996-04-19,2323.45,463.48,2196.39,452.22,3628.1
1996-04-22,2350.65,467.54,2217.3,455.55,3673.2
1996-04-23,2339.94,468.86,2219.08,455.93,3647.3
1996-04-24,2351.47,471.18,2226.56,457.47,3668.4
1996-04-25,2350.01,470.54,2220.36,456.94,3668.1
1996-04-26,2368.77,473.35,2241.27,460.51,3696.0
1996-04-29,2353.19,470.49,2225.2,458.12,3658.2
1996-04-30,2352.06,472.15,2228.92,459.08,3651.0
1996-05-01,2352.06,472.15,2228.92,459.08,3651.0
1996-05-02,2342.23,469.87,2223.63,458.08,3635.8
1996-05-03,2328.03,467.81,2214.54,456.46,3611.2
1996-05-06,2314.71,465.89,2208.03,454.68,3591.6
1996-05-07,2312.8,468.22,2214.78,455.98,3583.6
1996-05-08,2284.2,465.32,2203.3,454.16,3534.1
1996-05-09,2276.31,466.52,2199.22,453.77,3521.6
1996-05-10,2296.35,471.06,2211.08,455.81,3556.9
1996-05-13,2301.9,470.29,2209.04,455.85,3557.8
1996-05-14,2315.34,470.83,2210.56,456.3,3582.4
1996-05-15,2310.07,469.2,2207.49,455.8,3572.5
1996-05-16,2310.07,469.2,2207.49,455.8,3572.5
1996-05-17,2319.6,470.86,2209.4,456.09,3593.0
1996-05-20,2312.33,468.35,2201.65,454.56,3584.0
1996-05-21,2313.42,468.3,2204.76,454.98,3587.3
1996-05-22,2289.77,465.43,2187.72,451.97,3550.0
1996-05-23,2290.15,467.48,2191.28,452.58,3547.4
1996-05-24,2306.14,471.1,2203.26,455.21,3572.2
1996-05-27,2306.14,471.1,2203.26,455.21,3572.2
1996-05-28,2313.77,473.71,2214.56,457.48,3583.8
1996-05-29,2300.62,472.73,2213.29,457.35,3558.2
1996-05-30,2287.34,469.29,2201.03,454.77,3537.7
1996-05-31,2299.26,471.12,2209.5,456.3,3537.7
1996-06-03,2291.75,469.01,2195.7,454.55,3544.6
1996-06-04,2303.76,470.07,2198.29,455.2,3568.1
1996-06-05,2315.38,473.85,2201.3,456.11,3572.0
1996-06-06,2327.87,475.65,2208.85,458.21,3585.5
1996-06-07,2308.03,471.63,2199.83,456.0,3547.9
1996-06-10,2324.15,474.96,2213.49,458.38,3575.8
1996-06-11,2322.25,471.76,2203.09,456.37,3575.6
1996-06-12,2334.66,471.63,2202.29,456.75,3600.9
1996-06-13,2337.05,471.5,2199.32,456.46,3607.4
1996-06-14,2330.5,471.1,2199.02,456.53,3593.9
1996-06-17,2333.47,469.8,2196.68,455.72,3600.1
1996-06-18,2348.1,469.52,2203.01,456.7,3628.3
1996-06-19,2354.44,468.4,2202.79,456.39,3643.6
1996-06-20,2361.56,469.05,2208.52,457.45,3655.4
1996-06-21,2377.81,469.69,2210.23,457.8,3687.3
1996-06-24,2386.83,469.26,2208.22,457.33,3701.5
1996-06-25,2385.59,471.1,2209.34,456.99,3699.6
1996-06-26,2400.48,473.37,2219.21,458.4,3723.5
1996-06-27,2389.54,471.9,2214.59,457.39,3703.0
1996-06-28,2407.04,470.99,2222.93,459.39,3732.9
1996-07-01,2404.49,471.13,2214.96,457.87,3728.2
1996-07-02,2415.55,467.82,2216.73,457.01,3750.8
1996-07-03,2417.58,466.12,2214.19,456.76,3757.0
1996-07-04,2425.53,466.94,2212.46,456.61,3771.3
1996-07-05,2406.49,466.55,2209.86,456.47,3731.2
1996-07-08,2404.34,463.49,2201.38,454.37,3732.8
1996-07-09,2425.58,461.79,2203.95,454.28,3773.4
1996-07-10,2432.32,461.73,2205.06,454.12,3788.0
1996-07-11,2443.87,461.61,2207.23,454.65,3810.0
1996-07-12,2427.74,458.22,2198.38,453.41,3785.8
1996-07-15,2408.97,456.69,2188.74,451.47,3755.4
1996-07-16,2359.27,448.79,2147.84,443.61,3678.1
1996-07-17,2348.85,445.05,2137.14,442.15,3656.2
1996-07-18,2346.4,444.48,2136.62,441.94,3649.2
1996-07-19,2352.94,444.61,2141.68,443.02,3661.5
1996-07-22,2297.39,439.05,2108.64,437.28,3566.1
1996-07-23,2306.09,436.56,2103.32,435.89,3585.2
1996-07-24,2240.7,427.86,2064.9,429.85,3482.6
1996-07-25,2275.19,434.45,2082.48,432.9,3537.4
1996-07-26,2275.49,438.84,2087.48,434.12,3537.8
1996-07-29,2283.14,436.6,2083.53,433.13,3549.5
1996-07-30,2264.86,432.29,2070.62,430.68,3518.2
1996-07-31,2251.89,432.31,2069.04,430.78,3494.4
1996-08-01,2251.89,432.31,2069.04,430.78,3494.4
1996-08-02,2307.09,439.65,2065.58,429.12,3604.6
1996-08-05,2321.26,429.35,2092.92,433.84,3623.3
1996-08-06,2328.68,431.73,2098.54,434.78,3629.0
1996-08-07,2349.34,433.38,2109.52,436.85,3662.6
1996-08-08,2345.93,434.42,2110.82,437.56,3653.4
1996-08-09,2339.85,427.0,2097.46,435.1,3643.2
1996-08-12,2328.21,431.14,2099.82,435.84,3623.1
1996-08-13,2332.53,432.63,2105.44,436.79,3630.2
1996-08-14,2341.92,433.13,2108.07,437.54,3650.7
1996-08-15,2338.07,433.26,2106.87,437.48,3646.3
1996-08-16,2351.81,435.76,2114.02,439.5,3670.5
1996-08-19,2349.08,436.64,2119.15,439.37,3664.4
1996-08-20,2365.68,435.0,2125.76,439.71,3698.2
1996-08-21,2359.64,433.47,2126.61,439.15,3683.8
1996-08-22,2376.5,435.96,2138.14,440.56,3713.0
1996-08-23,2382.2,437.13,2146.33,441.91,3725.4
1996-08-26,2376.46,439.3,2151.03,442.49,3714.6
1996-08-27,2380.47,442.84,2148.54,443.69,3722.4
1996-08-28,2366.29,442.77,2149.95,443.35,3692.6
1996-08-29,2361.03,439.57,2144.41,442.46,3682.6
1996-08-30,2342.99,443.62,2144.99,443.27,3646.3
1996-09-02,2346.37,441.92,2137.98,441.83,3654.7
1996-09-03,2327.78,438.52,2122.59,439.03,3623.9
1996-09-04,2335.24,438.87,2128.48,439.27,3634.2
1996-09-05,2325.9,439.5,2105.31,434.43,3627.1
