,SPI Index,SPI19 Index,SMCI Index,SPI21 Index,M9EUHCSC Index,M9EUINSC Index,M9EUFNSC Index,M9EUMTSC Index,M9EUITSC Index,M9EUCSSC Index,M9EUCDSC Index,M9EUHCLC Index,M9EUINLC Index,M9EUFNLC Index,M9EUMTLC Index,M9EUCSLC Index,EURCHF Curncy
1996-01-04,2182.67,2184.72,2049.35,2219.26,244.38,122.25,233.24,231.78,904.78,267.73,321.26,428.3,436.69,366.38,293.14,362.84,
1996-01-05,2175.09,2181.0,2054.88,2208.69,243.83,122.96,233.4,232.41,905.29,268.39,321.74,427.02,435.66,364.1,291.53,361.52,
1996-01-08,2176.68,2194.96,2071.98,2206.46,244.47,123.21,233.76,233.78,911.37,268.4,322.68,427.52,438.03,364.37,290.23,362.57,
1996-01-09,2174.13,2204.0,2077.84,2201.63,243.78,120.82,234.01,233.89,911.33,268.46,323.1,424.91,437.71,362.97,291.18,361.74,
1996-01-10,2149.15,2179.43,2068.74,2173.13,243.8,119.53,233.28,233.69,898.59,267.45,323.03,419.14,435.68,360.74,289.76,358.76,
1996-01-11,2130.16,2168.66,2059.34,2151.69,242.84,120.37,233.09,233.41,893.21,267.2,322.1,416.14,434.96,358.83,288.78,357.08,
1996-01-12,2139.84,2185.83,2068.78,2161.15,244.75,120.39,233.58,233.9,899.46,267.37,322.73,416.71,437.15,360.51,290.14,358.45,
1996-01-15,2108.88,2174.12,2056.72,2125.24,245.42,119.03,233.68,233.6,898.42,266.89,323.4,414.67,437.27,359.36,290.01,359.69,
1996-01-16,2119.86,2168.67,2058.18,2138.97,246.93,118.16,234.21,234.07,901.0,267.79,324.7,420.63,440.37,361.91,292.31,363.3,
1996-01-17,2104.4,2173.25,2057.97,2119.38,245.45,118.04,234.13,234.05,901.92,268.36,325.49,419.39,439.65,361.73,290.9,363.25,
1996-01-18,2123.02,2170.89,2061.76,2142.09,247.87,118.23,234.56,234.45,904.44,269.75,326.71,423.69,442.11,365.18,292.09,364.27,
1996-01-19,2123.28,2180.23,2070.59,2140.15,249.36,119.16,235.54,235.74,905.68,270.18,328.85,424.92,443.68,366.94,292.87,364.13,
1996-01-22,2123.44,2186.03,2067.76,2140.72,250.05,121.54,235.77,236.12,907.73,270.29,329.29,426.75,444.16,365.83,292.36,364.95,
1996-01-23,2105.53,2178.41,2059.24,2120.31,249.32,121.69,235.27,235.32,905.11,269.6,328.87,423.71,441.33,363.65,291.29,364.3,
1996-01-24,2106.07,2175.54,2062.02,2121.13,251.69,122.43,235.45,236.36,902.72,270.43,329.23,426.23,444.89,365.35,293.51,366.1,
1996-01-25,2102.23,2178.98,2072.13,2113.38,253.75,122.82,235.67,236.52,911.81,271.2,330.86,426.61,445.34,364.36,293.19,364.05,
1996-01-26,2090.48,2180.26,2062.62,2100.58,254.81,123.71,235.78,235.42,912.27,270.98,330.84,424.3,445.39,364.04,293.27,361.8,
1996-01-29,2093.71,2184.95,2060.75,2104.85,253.89,124.07,236.06,235.63,911.5,271.56,330.92,425.25,445.87,363.46,294.64,362.31,
1996-01-30,2115.35,2189.01,2068.53,2130.25,254.38,124.36,236.29,236.71,912.72,271.89,332.19,429.29,449.81,364.97,296.32,362.89,
1996-01-31,2122.27,2201.89,2083.74,2135.18,256.25,124.38,236.98,238.42,921.32,272.23,333.85,434.93,453.08,367.65,298.33,364.82,
1996-02-01,2144.07,2219.13,2104.54,2157.46,256.81,125.81,237.76,240.72,927.06,272.53,335.3,436.23,453.22,368.39,300.2,364.92,
