,SPI Index,SPI19 Index,SMCI Index,SPI21 Index,MXEU0MT Index,MXEU0CS Index,MXEU0IN Index,MXEU0CD Index,MXEU0HC Index,MXEU0FN Index,EURCHF Curncy
1996-01-04,2182.67,2184.72,2049.35,2219.26,79.92,50.42,73.95,61.97,46.9,48.0,
1996-01-05,2175.09,2181.0,2054.88,2208.69,79.57,50.23,73.81,61.67,46.77,47.71,
1996-01-08,2176.68,2194.96,2071.98,2206.46,79.33,50.39,74.18,61.86,46.79,47.74,
1996-01-09,2174.13,2204.0,2077.84,2201.63,79.55,50.28,74.24,61.78,46.35,47.53,
1996-01-10,2149.15,2179.43,2068.74,2173.13,79.05,49.87,73.83,61.45,45.64,47.24,
1996-01-11,2130.16,2168.66,2059.34,2151.69,78.79,49.62,73.72,61.12,45.27,47.01,
1996-01-12,2139.84,2185.83,2068.78,2161.15,79.11,49.81,74.14,61.42,45.28,47.2,
1996-01-15,2108.88,2174.12,2056.72,2125.24,79.06,49.93,74.21,61.62,45.02,47.07,
1996-01-16,2119.86,2168.67,2058.18,2138.97,79.67,50.47,74.68,62.43,45.65,47.44,
1996-01-17,2104.4,2173.25,2057.97,2119.38,79.3,50.53,74.53,62.67,45.54,47.38,
1996-01-18,2123.02,2170.89,2061.76,2142.09,79.6,50.67,74.82,63.17,46.08,47.83,
1996-01-19,2123.28,2180.23,2070.59,2140.15,79.87,50.75,75.22,63.62,46.2,48.05,
1996-01-22,2123.44,2186.03,2067.76,2140.72,79.74,50.77,75.1,63.43,46.43,47.86,
1996-01-23,2105.53,2178.41,2059.24,2120.31,79.46,50.73,74.62,63.15,46.07,47.55,
1996-01-24,2106.07,2175.54,2062.02,2121.13,80.04,51.0,75.28,63.76,46.34,47.73,
1996-01-25,2102.23,2178.98,2072.13,2113.38,79.83,50.71,75.34,63.99,46.35,47.63,
1996-01-26,2090.48,2180.26,2062.62,2100.58,79.79,50.41,75.35,63.99,46.09,47.61,
1996-01-29,2093.71,2184.95,2060.75,2104.85,80.19,50.43,75.41,64.01,46.22,47.54,
1996-01-30,2115.35,2189.01,2068.53,2130.25,80.66,50.54,76.04,64.44,46.72,47.75,
1996-01-31,2122.27,2201.89,2083.74,2135.18,81.31,50.96,76.7,64.92,47.3,48.21,
1996-02-01,2144.07,2219.13,2104.54,2157.46,81.78,50.99,76.71,64.72,47.4,48.29,
1996-02-02,2141.19,2219.35,2114.42,2151.72,82.29,50.91,77.06,64.96,47.5,48.18,
1996-02-05,2114.47,2208.86,2099.26,2121.76,81.31,50.32,76.35,64.4,46.81,47.52,
1996-02-06,2130.88,2216.81,2107.74,2140.27,81.67,50.42,76.88,64.45,46.99,47.62,
1996-02-07,2135.16,2218.75,2110.92,2144.9,82.1,50.52,77.09,64.43,46.94,47.56,
1996-02-08,2124.75,2214.97,2104.27,2133.37,81.25,50.27,76.84,64.2,47.02,47.24,
1996-02-09,2121.25,2207.96,2098.86,2130.42,81.09,50.33,76.61,64.12,47.15,47.19,
1996-02-12,2125.58,2209.85,2097.31,2136.12,81.23,50.31,76.81,64.23,47.21,47.26,
1996-02-13,2129.41,2208.9,2096.44,2141.16,81.35,50.41,77.17,64.83,47.55,47.52,
1996-02-14,2132.52,2214.38,2095.47,2145.05,80.85,50.19,76.76,64.53,47.42,47.29,
1996-02-15,2135.17,2216.82,2096.38,2148.1,81.12,50.29,76.98,65.0,47.55,47.67,
1996-02-16,2136.41,2222.93,2092.49,2150.24,80.82,50.24,76.83,65.09,47.5,47.6,
1996-02-19,2128.24,2227.41,2084.31,2141.52,80.31,49.88,76.18,64.55,47.2,47.17,
1996-02-20,2115.21,2230.89,2082.63,2125.34,80.11,49.49,75.72,64.09,46.86,46.82,
1996-02-21,2118.0,2228.69,2081.93,2129.09,80.3,49.54,75.91,64.16,47.1,46.84,
1996-02-22,2126.21,2235.86,2089.51,2137.51,81.36,49.67,76.6,64.85,47.48,47.09,
1996-02-23,2143.94,2244.19,2095.02,2158.3,82.08,49.76,77.13,65.1,47.97,47.36,
1996-02-26,2144.72,2243.58,2094.95,2159.32,81.81,49.55,76.83,64.68,47.83,46.93,
1996-02-27,2150.17,2237.23,2094.29,2166.59,82.31,49.92,77.06,65.08,47.98,47.08,
1996-02-28,2178.76,2249.16,2107.56,2199.25,83.17,50.39,77.69,65.54,48.28,47.6,
1996-02-29,2177.74,2248.36,2115.74,2196.24,83.17,50.26,77.58,65.61,48.05,47.55,
1996-03-01,2193.81,2246.11,2127.74,2213.98,83.54,50.56,78.14,66.15,48.27,47.99,
1996-03-04,2200.02,2246.75,2129.75,2221.35,83.8,50.76,78.16,66.41,48.44,48.02,
1996-03-05,2191.53,2243.14,2129.84,2210.79,84.03,50.68,78.0,66.58,48.52,47.85,
1996-03-06,2204.73,2241.27,2126.97,2228.1,83.98,50.69,77.68,66.52,48.16,47.67,
1996-03-07,2287.37,2240.99,2132.29,2330.96,86.8,50.79,77.62,66.96,49.64,47.5,
1996-03-08,2272.98,2237.3,2134.12,2312.6,85.91,50.31,76.86,66.11,49.29,46.95,
1996-03-11,2243.05,2228.2,2109.82,2280.51,85.33,49.88,76.08,65.59,48.46,46.15,
1996-03-12,2262.13,2235.17,2124.27,2301.15,86.19,49.92,76.34,65.89,48.54,45.87,
1996-03-13,2271.62,2240.11,2129.52,2311.77,86.51,50.34,76.5,66.06,48.18,45.77,
1996-03-14,2282.98,2244.99,2136.14,2324.45,86.95,50.48,77.07,66.48,48.71,46.15,
1996-03-15,2275.25,2255.2,2137.57,2314.0,86.95,50.2,77.06,66.42,48.19,45.83,
1996-03-18,2286.29,2246.81,2141.37,2327.42,87.52,50.56,77.39,66.78,48.49,46.15,
1996-03-19,2299.18,2260.85,2152.32,2340.72,88.47,50.95,77.87,66.95,48.78,46.39,
1996-03-20,2304.54,2263.43,2161.02,2345.5,88.24,51.1,77.79,66.93,48.71,46.44,
1996-03-21,2316.61,2265.79,2160.17,2360.78,88.19,50.89,77.65,67.25,49.32,46.68,
1996-03-22,2327.55,2255.93,2175.44,2371.68,88.63,50.73,77.65,67.42,49.63,46.7,
1996-03-25,2342.52,2266.61,2182.16,2388.64,88.54,50.84,77.3,67.5,49.8,46.67,
1996-03-26,2333.23,2261.2,2177.59,2378.14,87.94,50.84,76.79,67.07,49.87,46.37,
1996-03-27,2339.85,2274.32,2190.11,2383.26,88.53,51.29,77.25,67.47,49.98,46.6,
1996-03-28,2322.62,2266.87,2180.74,2363.87,88.14,50.94,77.06,67.79,49.46,46.39,
1996-03-29,2325.46,2265.51,2190.6,2365.4,88.28,51.23,77.23,68.32,49.45,46.43,
1996-04-01,2330.25,2272.68,2194.45,2370.31,88.26,51.46,77.3,68.62,49.57,46.67,
1996-04-02,2329.4,2279.1,2199.37,2367.91,88.53,51.41,77.42,68.92,49.77,46.91,
1996-04-03,2309.66,2283.04,2199.31,2342.9,88.12,51.28,77.19,68.83,49.42,46.73,
1996-04-04,2312.99,2286.17,2206.03,2345.53,88.33,51.52,77.34,69.38,49.63,46.96,
1996-04-05,2312.99,2286.17,2206.03,2345.53,88.33,51.52,77.32,69.35,49.63,46.92,
1996-04-08,2312.99,2286.17,2206.03,2345.53,88.31,51.51,77.31,69.35,49.63,46.91,
1996-04-09,2301.72,2275.69,2194.66,2334.2,88.2,51.43,77.39,69.68,49.38,47.03,
1996-04-10,2304.96,2272.35,2195.4,2338.26,89.33,51.7,78.09,70.42,49.18,47.31,
1996-04-11,2284.21,2257.74,2184.83,2315.0,89.0,51.36,77.92,70.13,48.43,46.9,
1996-04-12,2290.32,2265.05,2188.62,2321.58,88.99,51.56,78.31,70.21,48.33,46.92,
1996-04-15,2295.62,2249.98,2183.55,2329.97,89.5,51.76,78.9,70.61,48.71,47.26,
1996-04-16,2308.96,2279.87,2197.74,2342.49,90.17,52.18,79.2,71.19,48.9,47.43,
1996-04-17,2307.45,2291.31,2197.02,2340.27,90.37,52.0,78.97,70.77,48.76,47.09,
1996-04-18,2310.99,2307.76,2190.96,2345.34,90.71,52.07,79.23,71.09,48.93,47.1,
1996-04-19,2323.45,2327.35,2196.39,2359.07,91.1,52.33,79.69,71.68,49.5,47.43,
1996-04-22,2350.65,2332.8,2217.3,2388.63,91.74,52.69,80.11,72.09,49.7,47.86,
1996-04-23,2339.94,2321.16,2219.08,2375.23,91.41,52.59,79.97,71.75,49.5,47.61,
1996-04-24,2351.47,2330.57,2226.56,2387.76,91.56,52.76,80.06,72.03,49.58,47.59,
1996-04-25,2350.01,2334.98,2220.36,2387.06,91.4,52.66,80.19,71.88,49.33,47.62,
1996-04-26,2368.77,2348.81,2241.27,2405.64,91.59,52.91,80.41,71.96,49.56,47.91,
1996-04-29,2353.19,2346.64,2225.2,2389.55,90.54,52.62,79.81,71.42,49.47,47.63,
1996-04-30,2352.06,2289.21,2228.92,2386.98,90.42,52.78,79.64,71.66,49.54,47.72,
1996-05-01,2352.06,2289.21,2228.92,2386.98,90.41,52.73,79.62,71.49,49.71,47.73,
1996-05-02,2342.23,2217.72,2223.63,2376.04,90.07,52.93,79.56,71.29,49.53,47.55,
1996-05-03,2328.03,2275.44,2214.54,2360.37,89.42,52.51,78.94,70.47,48.58,47.33,
1996-05-06,2314.71,2323.55,2208.03,2345.69,89.31,52.51,79.02,70.32,48.41,47.37,
1996-05-07,2312.8,2323.19,2214.78,2341.84,89.24,52.54,79.0,70.4,47.96,47.25,
1996-05-08,2284.2,2319.39,2203.3,2308.39,88.65,52.37,78.6,70.18,47.5,46.9,
